Value of N, Comparisons of O(n), Comparisons of O(M + log n), Comparisons of O(log n)
92700,27824,932,0
92800,27725,910,0
92900,27881,854,0
93000,27888,908,0
93100,27908,957,0
93200,28086,964,0
93300,28145,963,0
93400,28042,956,0
93500,28296,994,0
93600,27977,961,0
93700,28012,951,0
93800,28027,979,0
93900,28100,910,0
94000,28328,973,0
94100,28297,941,0
94200,28148,945,0
94300,28465,973,0
94400,28291,1019,0
94500,28223,896,0
94600,28234,941,0
94700,28431,958,0
94800,28551,976,0
94900,28661,891,0
95000,28442,883,0
95100,28555,978,0
95200,28446,954,0
95300,28591,943,0
95400,28665,935,0
95500,28496,906,0
95600,28547,957,0
95700,28702,978,0
95800,28859,969,0
95900,28721,931,0
96000,28944,986,0
96100,28983,978,0
96200,28797,948,0
96300,28705,951,0
96400,28937,1027,0
96500,28897,996,0
96600,28853,996,0
96700,29011,998,0
96800,29046,933,0
96900,29052,1012,0
97000,29202,989,0
97100,29103,905,0
97200,29148,923,0
97300,29324,949,0
97400,29381,957,0
97500,29008,975,0
97600,28938,958,0
97700,29720,982,0
97800,29606,943,0
97900,29550,1031,0
98000,29375,963,0
98100,29415,1004,0
98200,29465,982,0
98300,29569,967,0
98400,29388,996,0
98500,29367,989,0
98600,29661,987,0
98700,29838,1055,0
98800,30063,1054,0
98900,29804,996,0
99000,29933,1013,0
99100,29801,1031,0
99200,29624,1022,0
99300,29693,997,0
99400,29795,1006,0
99500,29928,975,0
99600,29642,1016,0
99700,29762,994,0
99800,30121,1038,0
99900,30146,965,0
100000,30051,966,0
100100,30239,1016,0
100200,30245,1076,0
100300,29843,1030,0
100400,30303,988,0
100500,30090,985,0
100600,30299,1003,0
100700,30104,1026,0
100800,30294,996,0
100900,30082,993,0
101000,30679,983,0
101100,30533,1040,0
101200,30444,1029,0
101300,30531,1043,0
101400,30729,991,0
101500,30333,1005,0
101600,30363,990,0
101700,30511,1072,0
101800,30616,1089,0
101900,30333,992,0
102000,30332,1031,0
102100,30518,959,0
102200,30474,966,0
102300,30669,1054,0
102400,30489,1019,0
102500,30413,986,0
102600,30811,1042,0
102700,30697,1066,0
102800,30830,1019,0
102900,30825,1038,0
103000,31003,1054,0
103100,30944,1023,0
103200,31021,1076,0
103300,31193,1067,0
