Value of N,Comparisons of O(n),Comparisons of O(M + log n),Comparisons of O(log n)
41300,24783,4136,0
41400,24990,4160,0
41500,25060,4183,0
41600,25115,4265,0
41700,24974,4198,0
41800,25123,4279,0
41900,24921,4215,0
42000,25223,4180,0
42100,25256,4112,0
42200,25332,4317,0
42300,25242,4208,0
42400,25394,4243,0
42500,25501,4184,0
42600,25563,4296,0
42700,25636,4293,0
42800,25576,4297,0
42900,25708,4298,0
43000,25876,4315,0
43100,25883,4344,0
43200,25893,4269,0
43300,26047,4305,0
43400,25867,4363,0
43500,26127,4352,0
43600,26166,4382,0
43700,26246,4351,0
43800,26208,4456,0
43900,26407,4403,0
44000,26385,4383,0
44100,26508,4395,0
44200,26469,4336,0
44300,26599,4410,0
44400,26761,4461,0
44500,26750,4465,0
44600,26938,4517,0
44700,26834,4458,0
44800,26948,4552,0
44900,26862,4544,0
45000,27076,4549,0
45100,27145,4546,0
45200,27181,4526,0
45300,27133,4558,0
45400,27168,4502,0
45500,27413,4546,0
45600,27259,4620,0
45700,27447,4599,0
45800,27367,4512,0
45900,27666,4697,0
46000,27611,4646,0
46100,27625,4593,0
46200,27800,4641,0
46300,27761,4632,0
46400,27812,4670,0
46500,27937,4689,0
46600,27804,4575,0
46700,28169,4689,0
46800,28086,4726,0
46900,28062,4614,0
47000,28020,4593,0
47100,28172,4624,0
47200,28285,4699,0
47300,28176,4723,0
47400,28421,4679,0
47500,28443,4719,0
47600,28611,4687,0
47700,28635,4746,0
47800,28605,4606,0
47900,28763,4705,0
48000,28910,4781,0
48100,28760,4817,0
48200,28922,5041,0
48300,28988,4766,0
48400,28875,4869,0
48500,29168,4885,0
48600,29091,4893,0
48700,29170,4872,0
48800,29345,4939,0
48900,29350,4809,0
49000,29417,4937,0
49100,29471,4862,0
49200,29608,5054,0
49300,29538,4836,0
49400,29741,4935,0
49500,29624,4986,0
49600,29970,4956,0
49700,29885,4973,0
49800,29879,5019,0
49900,30097,4885,0
50000,30152,5070,0
50100,30135,5035,0
50200,30181,5023,0
50300,30264,5130,0
50400,30067,5037,0
50500,30379,5168,0
50600,30499,5029,0
50700,30516,5016,0
50800,30491,5002,0
50900,30422,5159,0
51000,30597,5165,0
51100,30449,5040,0
51200,30724,5158,0
51300,30624,5144,0
51400,30870,5209,0
51500,30682,5123,0
51600,31027,5212,0
51700,30913,5160,0
51800,31073,5246,0
51900,31080,5299,0
52000,31179,5110,0
52100,31074,5093,0
52200,31458,5185,0
52300,31349,5301,0
52400,31507,5219,0
52500,31269,5278,0
52600,31575,5189,0
52700,31861,5368,0
52800,31803,5431,0
52900,31793,5258,0
53000,31846,5292,0
53100,31844,5377,0
53200,31964,5260,0
53300,32256,5289,0
53400,32013,5351,0
53500,32073,5296,0
53600,32182,5366,0
53700,32185,5301,0
53800,32343,5392,0
53900,32421,5285,0
54000,32598,5397,0
54100,32461,5443,0
54200,32349,5497,0
54300,32526,5528,0
54400,32511,5448,0
54500,32600,5476,0
54600,32945,5430,0
54700,32663,5547,0
54800,32791,5417,0
54900,32796,5449,0
55000,32869,5523,0
55100,33000,5482,0
55200,33142,5526,0
55300,33284,5591,0
55400,33084,5570,0
55500,33253,5499,0
55600,33315,5630,0
55700,33419,5510,0
55800,33507,5561,0
55900,33419,5487,0
56000,33774,5493,0
56100,33588,5520,0
56200,33705,5597,0
56300,33869,5687,0
56400,33865,5612,0
56500,34041,5775,0
56600,33826,5474,0
56700,33987,5632,0
56800,34002,5820,0
56900,34156,5728,0
57000,34171,5687,0
57100,34252,5721,0
57200,34353,5838,0
57300,34305,5703,0
57400,34547,5728,0
57500,34704,5764,0
57600,34622,5711,0
57700,34704,5798,0
57800,34682,5942,0
57900,34710,5676,0
58000,34763,5897,0
58100,34874,5738,0
58200,34770,5961,0
58300,34748,5795,0
58400,35157,5810,0
58500,35050,5734,0
58600,35070,5862,0
58700,34981,5864,0
58800,35536,5932,0
58900,35252,5914,0
59000,35313,5863,0
59100,35543,5809,0
59200,35421,5937,0
59300,35650,6094,0
59400,35642,5971,0
59500,35629,5970,0
59600,35756,6080,0
59700,35952,5946,0
59800,35862,6036,0
59900,35759,5959,0
60000,35964,5858,0
60100,35990,6026,0
60200,36031,5983,0
60300,36041,5922,0
60400,36182,6044,0
60500,36239,6135,0
60600,36493,6098,0
60700,36119,6030,0
60800,36486,5971,0
60900,36548,6094,0
61000,36533,6119,0
61100,36520,6108,0
61200,36726,6197,0
61300,36942,6158,0
61400,36856,6201,0
61500,36995,6203,0
61600,37063,6120,0
61700,37149,6167,0
61800,37231,6108,0
61900,37201,6122,0
62000,37295,6262,0
62100,37205,6331,0
62200,37429,6317,0
62300,37488,6237,0
62400,37476,6314,0
62500,37576,6362,0
62600,37400,6190,0
62700,37708,6238,0
62800,37692,6287,0
62900,37724,6303,0
63000,37711,6306,0
63100,37773,6300,0
63200,38149,6455,0
63300,38015,6218,0
63400,37866,6205,0
63500,37998,6246,0
63600,38054,6269,0
63700,38135,6376,0
63800,38200,6344,0
63900,38341,6371,0
64000,38414,6455,0
64100,38336,6384,0
64200,38546,6487,0
64300,38549,6393,0
64400,38924,6349,0
64500,38568,6362,0
64600,38801,6488,0
64700,38795,6357,0
64800,38934,6575,0
64900,39240,6499,0
65000,39007,6523,0
65100,38909,6547,0
65200,39278,6465,0
65300,39074,6518,0
65400,39439,6449,0
65500,39443,6758,0
65600,39186,6596,0
65700,39427,6639,0
65800,39498,6636,0
65900,39528,6322,0
66000,39581,6606,0
66100,39632,6672,0
66200,39853,6635,0
66300,39794,6662,0
66400,39753,6552,0
66500,40086,6684,0
66600,40018,6651,0
66700,40100,6728,0
66800,40184,6781,0
66900,40118,6783,0
67000,40187,6777,0
67100,40157,6622,0
67200,40388,6870,0
67300,40322,6826,0
67400,40509,6799,0
67500,40603,6858,0
67600,40784,6784,0
67700,40620,6654,0
67800,40605,6702,0
67900,40620,6743,0
68000,41041,6930,0
68100,40905,6799,0
68200,41023,6851,0
68300,40816,6705,0
68400,41047,6792,0
68500,40984,6748,0
68600,40963,6908,0
68700,41090,6816,0
68800,41558,6978,0
68900,41340,6863,0
69000,41494,6948,0
69100,41439,6917,0
69200,41603,6994,0
69300,41376,6875,0
69400,41995,7008,0
69500,41761,7043,0
69600,41708,6983,0
69700,41808,6956,0
69800,41945,6991,0
69900,41968,7181,0
70000,42071,7057,0
70100,42025,6995,0
70200,42288,6978,0
70300,42124,7147,0
70400,42151,7022,0
70500,42448,7164,0
70600,42250,6968,0
70700,42531,7300,0
70800,42391,7023,0
70900,42693,7246,0
71000,42595,7147,0
71100,42695,7159,0
71200,42627,7054,0
71300,42743,7010,0
71400,43065,7207,0
71500,42938,7144,0
71600,42834,7069,0
71700,42968,7120,0
71800,42767,7120,0
71900,43177,7246,0
72000,43297,7215,0
72100,43207,7105,0
72200,43369,7225,0
72300,43451,7194,0
72400,43596,7326,0
72500,43547,7186,0
72600,43494,7369,0
72700,43626,7147,0
72800,43769,7325,0
